Semana,Hora Rutura,Hora da rutura,Seção,Tipo de requisição,OT,REQ,Tipo Produto,Nº Produto,Descrição,Qtd. Req.,Qtd. Env.,Qtd. Falta,Un. Med,Data, Stock CT, Stock FF,Em trânsito da FF,Tipologia Rutura,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019062,463418,Congelados,CVPI0024,Pimento Assado Congelado,1.50,0.00,1.50,N/D,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Secos,AFPA0001,Pao ralado,0.02,0.00,0.02,KG,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQMI0031,QJO MISTURA E PIMENTÃO,7.27,0.00,7.27,N/D,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVA0032,Qjo vaca mimolete,16.67,0.00,16.67,KG,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVA0042,Qjo parmesao,1.18,0.00,1.18,KG,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVN0003,VIOLIFE CHEDDAR BARRA,0.08,0.00,0.08,KG,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-Acerto de Inventário,COZINHA FRIA,NORMAL,OT25019069,463425,"F&V, Pão & Iogurtes",CVES0013,Espinafre baby lavado,1.71,0.00,1.71,KG,2025-04-01,1.60,0.00,0.00,Acerto de Inventário,
abr.,Rutura 14h,Rutura 14h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019080,463425,"F&V, Pão & Iogurtes",CVGE0003,Gengibre lavado,0.08,0.00,0.08,KG,2025-04-01,0.00,0.00,0.00,Sem Stock Físico e BC,
abr.,Rutura 14h,Rutura 14h-A pedir à FF,COZINHA QUENTE,NORMAL,OT25018966,463342,Congelados,CVBR0001,Brocolos congelados,18.60,0.00,18.60,KG,2025-04-01,0.00,350.00,0.00,A pedir à FF,
abr.,Rutura 14h,Rutura 14h-A pedir à FF,COZINHA QUENTE,NORMAL,OT25018951,463329,Secos,CVPI0005,Pimento morrone,1.76,0.00,1.76,KG,2025-04-01,0.00,18.00,0.00,A pedir à FF,
abr.,Rutura 14h,Rutura 14h-A pedir à FF,COZINHA QUENTE,NORMAL,OT25018951,463329,Refrigerados,BQVA0008,Qjo vaca cheddar,4.14,0.00,4.14,KG,2025-04-01,0.00,247.71,0.00,A pedir à FF,
abr.,Rutura 14h,Rutura 14h-A pedir à FF,COZINHA QUENTE,NORMAL,OT25018952,463330,Secos,CMMO0013,Molho demi-glace,1.94,0.00,1.94,KG,2025-04-01,0.00,10.80,0.00,A pedir à FF,
